hanja,kor,radical,radical_name,stroke_count,level,rep_pron,mistake
屬,붙일 속,尸,주검 시,21,4급,속,1
孫,손자 손,子,아들 자,10,6급,손,1
送,보낼 송,辵,쉬엄쉬엄갈 착,10,준4급,송,1
訟,송사할 송,言,말씀 언,11,준3급,송,1
頌,기릴/칭송할 송,頁,머리 혈,13,4급,송,1
誦,욀 송,言,말씀 언,14,3급,송,1
刷,인쇄할 쇄,刀,칼 도,8,준3급,쇄,1
鎖,쇠사슬 쇄,金,쇠 금|성 김,18,준3급,쇄,1
衰,쇠할 쇠,衣,옷 의,10,준3급,쇠,1
囚,가둘 수,囗,에워쌀 위|나라 국,5,3급,수,1
收,거둘 수,攴,칠 복,6,준4급,수,2
垂,드리울 수,土,흙 토,8,준3급,수,2
帥,장수 수,巾,수건 건,9,준3급,수,1
殊,다를 수,歹,뼈앙상할 알|나쁠 대,10,준3급,수,2
須,모름지기 수,頁,머리 혈,12,3급,수,2
搜,찾을 수,手,손 수,12,3급,수,2
睡,졸음 수,目,눈 목,13,3급,수,1
遂,드디어 수,辵,쉬엄쉬엄갈 착,13,3급,수,2
愁,근심 수,心,마음 심,13,준3급,수,1
需,쓰일/쓸 수,雨,비 우,14,준3급,수,2
誰,누구 수,言,말씀 언,15,3급,수,2
樹,나무 수,木,나무 목,16,6급,수,1
輸,보낼 수,車,수레 거/차,16,준3급,수,1
隨,따를 수,阜,언덕 부,16,준3급,수,2
雖,비록 수,隹,새 추,17,3급,수,2
獸,짐승 수,犬,개 견,19,준3급,수,1
宿,잘 숙|별자리 수,宀,집 면,11,준5급,숙,2
孰,누구 숙,子,아들 자,11,3급,숙,2
淑,맑을 숙,水,물 수,11,준3급,숙,1
肅,엄숙할 숙,聿,붓 율,13,4급,숙,1
熟,익을 숙,火,불 화,15,준3급,숙,2
旬,열흘 순,日,날 일,6,준3급,순,2
巡,돌/순행할 순,巛,내 천,7,준3급,순,1
殉,따라죽을 순,歹,뼈앙상할 알|나쁠 대,10,3급,순,2
純,순수할 순,糸,실 사|가는실 멱,10,준4급,순,2
脣,입술 순,肉,고기 육,11,3급,순,2
循,돌 순,彳,조금걸을 척,12,3급,순,2
瞬,눈깜짝일 순,目,눈 목,17,준3급,순,2
述,펼 술,辵,쉬엄쉬엄갈 착,9,준3급,술,2
術,재주 술,行,다닐 행|항렬 항,11,준6급,술,1
拾,주울 습|열 십,手,손 수,9,준3급,습,2
濕,젖을 습,水,물 수,17,준3급,습,2
襲,엄습할 습,衣,옷 의,22,준3급,습,1
昇,오를 승,日,날 일,8,준3급,승,2
承,이을 승,手,손 수,8,준4급,승,1
僧,중 승,人,사람 인,14,준3급,승,1
始,비로소 시,女,계집 녀,8,준6급,시,1
侍,모실 시,人,사람 인,8,준3급,시,2
施,베풀 시,方,모 방,9,준4급,시,3
是,이/옳을 시,日,날 일,9,준4급,시,2
視,볼 시,見,볼 견|뵈올 현,12,준4급,시,2
詩,시 시,言,말씀 언,13,준4급,시,1
式,법 식,弋,주살 익,6,6급,식,1
飾,꾸밀 식,食,밥/먹을 식,14,준3급,식,3
伸,펼 신,人,사람 인,7,3급,신,2
晨,새벽 신,日,날 일,11,3급,신,1
新,새 신,斤,근/날 근,13,준6급,신,1
愼,삼갈 신,心,마음 심,13,준3급,신,1
甚,심할 심,甘,달 감,9,준3급,심,1
尋,찾을 심,寸,마디 촌,12,3급,심,2
審,살필 심,宀,집 면,15,준3급,심,3
十,열 십,十,열 십,2,8급,십,1
雙,두 쌍,隹,새 추,18,준3급,쌍,1
牙,어금니 아,牙,어금니 아,4,준3급,아,1
阿,언덕 아,阜,언덕 부,8,준3급,아,2
亞,버금 아,二,두 이,8,준3급,아,1
芽,싹 아,艸,풀 초,8,준3급,아,1
雅,맑을 아,隹,새 추,12,준3급,아,1
餓,주릴 아,食,밥/먹을 식,16,3급,아,1
岳,큰산 악,山,메 산,8,3급,악,1
惡,악할 악|미워할 오,心,마음 심,12,준5급,악,1
安,편안 안,宀,집 면,6,준7급,안,1
岸,언덕 안,山,메 산,8,준3급,안,2
雁,기러기 안,隹,새 추,12,3급,안,2
顔,낯 안,頁,머리 혈,18,준3급,안,2
謁,뵐 알,言,말씀 언,16,3급,알,2
押,누를 압,手,손 수,8,3급,압,1
央,가운데 앙,大,큰 대,5,준3급,앙,1
仰,우러를 앙,人,사람 인,6,준3급,앙,2
殃,재앙 앙,歹,뼈앙상할 알|나쁠 대,9,3급,앙,1
哀,슬플 애,口,입 구,9,준3급,애,1
涯,물가 애,水,물 수,11,3급,애,2
愛,사랑 애,心,마음 심,13,6급,애,1
厄,액 액,厂,기슭 한,4,3급,액,2
液,진 액,水,물 수,11,준4급,액,1
額,이마 액,頁,머리 혈,18,4급,액,2
也,이끼/어조사 야,乙,둘째 천간 을,3,3급,야,1
耶,어조사 야,耳,귀 이,9,3급,야,2
約,맺을 약,糸,실 사|가는실 멱,9,준5급,약,2
若,같을 약|반야 야,艸,풀 초,9,준3급,약,2
躍,뛸 약,足,발 족 / 족할 족,21,3급,약,1
陽,볕 양,阜,언덕 부,12,6급,양,1
揚,날릴 양,手,손 수,12,준3급,양,2
楊,버들 양,木,나무 목,13,3급,양,2
養,기를 양,食,밥/먹을 식,15,준5급,양,2
樣,모양 양,木,나무 목,15,4급,양,2
壤,흙덩이 양,土,흙 토,20,준3급,양,1
於,어조사 어|탄식할 오,方,모 방,8,3급,어,2
御,거느릴 어,彳,조금걸을 척,12,준3급,어,2
抑,누를 억,手,손 수,7,준3급,억,1
憶,생각할 억,心,마음 심,16,준3급,억,1
焉,어찌 언,火,불 화,11,3급,언,2
嚴,엄할 엄,口,입 구,20,4급,엄,2
業,업 업,木,나무 목,13,준6급,업,1
予,나 여,亅,갈고리 궐,4,3급,여,2
汝,너 여,水,물 수,6,3급,여,2
如,같을 여,女,계집 녀,6,준4급,여,1
與,더불/줄 여,臼,절구 구,14,4급,여,2
餘,남을 여,食,밥/먹을 식,16,준4급,여,1
輿,수레 여,車,수레 거/차,17,3급,여,1
亦,또 역,亠,돼지해머리 두,6,준3급,역,2
役,부릴 역,彳,조금걸을 척,7,준3급,역,2
易,바꿀 역|쉬울 이,日,날 일,8,4급,역,1
疫,전염병 역,疒,병들어기댈 녁,9,준3급,역,2
域,지경 역,土,흙 토,11,4급,역,2
譯,번역할 역,言,말씀 언,20,준3급,역,1
驛,역 역,馬,말 마,23,준3급,역,1
延,늘일 연,廴,길게걸을 인,7,4급,연,1
宴,잔치 연,宀,집 면,10,준3급,연,2
軟,연할 연,車,수레 거/차,11,준3급,연,2
鉛,납 연,金,쇠 금|성 김,13,4급,연,1
炎,불꽃 염,火,불 화,8,준3급,염,1
映,비칠 영,日,날 일,9,4급,영,2
詠,읊을 영,言,말씀 언,12,3급,영,1
銳,날카로울 예,金,쇠 금|성 김,15,3급,예,1
譽,기릴/명예 예,言,말씀 언,21,준3급,예,2
傲,거만할 오,人,사람 인,13,3급,오,1
誤,그르칠 오,言,말씀 언,14,준4급,오,1
擁,낄 옹,手,손 수,16,3급,옹,1
臥,누울 와,臣,신하 신,8,3급,와,2
完,완전할 완,宀,집 면,7,5급,완,2
畏,두려워할 외,田,밭 전,9,3급,외,1
要,요긴할 요,襾,덮을 아,9,준5급,요,1
遙,멀 요,辵,쉬엄쉬엄갈 착,14,3급,요,1
辱,욕될 욕,辰,별 진|때 신,10,준3급,욕,1
欲,하고자할 욕,欠,하품 흠,11,준3급,욕,1
容,얼굴 용,宀,집 면,10,준4급,용,1
庸,떳떳할 용,广,집 엄,11,3급,용,2
牛,소 우,牛,소 우,4,5급,우,1
羽,깃 우,羽,깃 우,6,준3급,우,1
偶,짝 우,人,사람 인,11,준3급,우,1
郵,우편 우,邑,고을 읍,11,4급,우,1
韻,운 운,音,소리 음,19,준3급,운,1
越,넘을 월,走,달릴 주,12,준3급,월,1
位,자리 위,人,사람 인,7,5급,위,1
違,어긋날 위,辵,쉬엄쉬엄갈 착,13,3급,위,1
僞,거짓 위,人,사람 인,14,준3급,위,1
緯,씨 위,糸,실 사|가는실 멱,15,3급,위,1
慰,위로할 위,心,마음 심,15,4급,위,1
悠,멀 유,心,마음 심,11,준3급,유,1
裕,넉넉할 유,衣,옷 의,12,준3급,유,1
恩,은혜 은,心,마음 심,10,준4급,은,2
淫,음란할 음,水,물 수,11,준3급,음,1
凝,엉길 응,冫,얼음 빙,16,3급,응,1
矣,어조사 의,矢,화살 시,7,3급,의,1
宜,마땅 의,宀,집 면,8,3급,의,1
依,의지할 의,人,사람 인,8,4급,의,1
疑,의심할 의,疋,짝 필,14,4급,의,1
儀,거동 의,人,사람 인,15,4급,의,1
議,의논할 의,言,말씀 언,20,준4급,의,1
異,다를 이,田,밭 전,11,4급,이,1
寅,범/동방 인,宀,집 면,11,3급,인,1
認,알 인,言,말씀 언,14,준4급,인,2
日,날 일,日,날 일,4,8급,일,2
逸,편안할 일,辵,쉬엄쉬엄갈 착,12,준3급,일,1
壬,북방 임,士,선비 사,4,준3급,임,1
